skip_id,created_at,underlying,expiry,strike,side,entry_mid,entry_bid,entry_ask,hard_stop_points,target_r,ComparableOpportunityScore,gate_snapshot_id,gate_features_json,instrument_id,instrument_class,evidence_profile,parameter_profile,strategy_version,score_version,universe_version
202608181025_1_MIDCPNIFTY_PE,2026-08-18T04:55:34.002615+00:00,MIDCPNIFTY,2026-08-25,14825.0,PE,76.17500000000001,75.9,76.45,15.235000000000003,2.0,43.81571623945469,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 1.4808980973825128, ""excellent_score_min"": 43.81571623945469, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333333, ""final_confidence_min"": 74.31545495036369, ""iv_crush_max"": 24.0, ""market_hostility_max"": 21.068256666610594, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.7220216606498157, ""trade_quality_min"": 8.644400785854371}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608181025_2_MIDCPNIFTY_CE,2026-08-18T04:55:34.009044+00:00,MIDCPNIFTY,2026-08-25,14875.0,CE,97.2,96.9,97.5,19.44,2.0,43.54915458192583,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 43.54915458192583, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333333, ""final_confidence_min"": 73.87118552114893, ""iv_crush_max"": 24.0, ""market_hostility_max"": 21.068256666610594, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.6172839506172781, ""trade_quality_min"": 8.644400785854371}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608181025_3_BAJFINANCE_CE,2026-08-18T04:55:34.010002+00:00,BAJFINANCE,2026-08-25,1080.0,CE,24.05,23.85,24.25,4.8100000000000005,2.0,34.090402009688475,58c303dc05a9,"{""contract_quality_min"": 0.0, ""direction_min"": 11.720538412234312, ""excellent_score_min"": 34.090402009688475, ""execution_quality_min"": 58.57588357588399, ""expected_required_ratio_min"": 1.1666666666666665, ""final_confidence_min"": 76.0996608034158, ""iv_crush_max"": 24.0, ""market_hostility_max"": 25.72810947548156, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 1.6632016632016573, ""trade_quality_min"": 63.99999999999818}",BAJFINANCE,NSE_STOCK_OPTION,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608181025_4_BAJFINANCE_PE,2026-08-18T04:55:34.010838+00:00,BAJFINANCE,2026-08-25,1100.0,PE,16.35,16.2,16.5,3.2700000000000005,2.0,29.972274646688774,58c303dc05a9,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 29.972274646688774, ""execution_quality_min"": 46.559633027522636, ""expected_required_ratio_min"": 1.1666666666666665, ""final_confidence_min"": 70.52357061431215, ""iv_crush_max"": 24.0, ""market_hostility_max"": 25.72810947548156, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 1.8348623853211052, ""trade_quality_min"": 63.99999999999818}",BAJFINANCE,NSE_STOCK_OPTION,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608181025_5_BAJAJFINSV_PE,2026-08-18T04:55:34.011536+00:00,BAJAJFINSV,2026-08-25,2020.0,PE,30.45,30.25,30.65,6.09,2.0,28.323008719232348,e97256bacfa6,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 28.323008719232348, ""execution_quality_min"": 77.98733286418035, ""expected_required_ratio_min"": 1.1666666666666667, ""final_confidence_min"": 71.64324789279416, ""iv_crush_max"": 24.0, ""market_hostility_max"": 26.25035365386862, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 1.313628899835792, ""trade_quality_min"": 38.62068965517209}",BAJAJFINSV,NSE_STOCK_OPTION,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608181027_1_BANKNIFTY_CE,2026-08-18T04:57:29.455499+00:00,BANKNIFTY,2026-08-25,57400.0,CE,432.75,432.5,433.0,25.0,2.0,55.132582784028656,2e840ccd58d1,"{""contract_quality_min"": 0.0, ""direction_min"": 6.416964807067332, ""excellent_score_min"": 55.132582784028656, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.4166666666666665, ""final_confidence_min"": 85.52115928589099, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.929026678585117, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.11554015020219525, ""trade_quality_min"": 43.52871521610295}",BANKNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608181027_2_MIDCPNIFTY_PE,2026-08-18T04:57:29.456498+00:00,MIDCPNIFTY,2026-08-25,14875.0,PE,93.94999999999999,93.6,94.3,18.79,2.0,45.66752178483632,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.9152209316404843, ""excellent_score_min"": 45.66752178483632, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 73.17690578125442, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.953883203835286, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.745077168706762, ""trade_quality_min"": 5.132075471694467}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608181027_3_MIDCPNIFTY_CE,2026-08-18T04:57:29.456971+00:00,MIDCPNIFTY,2026-08-25,14875.0,CE,101.55000000000001,101.2,101.9,20.310000000000002,2.0,42.602782017141024,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 42.602782017141024, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 72.90233950176227, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.953883203835286, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.6893156080748427, ""trade_quality_min"": 5.132075471694467}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608181027_4_MIDCPNIFTY_PE,2026-08-18T04:57:29.457412+00:00,MIDCPNIFTY,2026-08-25,14825.0,PE,73.19999999999999,72.85,73.55,14.639999999999999,2.0,41.76283794408687,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.9152209316404843, ""excellent_score_min"": 41.76283794408687, ""execution_quality_min"": 93.30210772833706, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 73.17690578125442, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.953883203835286, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.9562841530054685, ""trade_quality_min"": 5.132075471694467}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608181027_5_BAJFINANCE_CE,2026-08-18T04:57:29.458358+00:00,BAJFINANCE,2026-08-25,1090.0,CE,18.25,18.1,18.4,3.6500000000000004,2.0,36.56935695076046,58c303dc05a9,"{""contract_quality_min"": 0.0, ""direction_min"": 23.428205362862965, ""excellent_score_min"": 36.56935695076046, ""execution_quality_min"": 59.93150684931615, ""expected_required_ratio_min"": 1.1666666666666665, ""final_confidence_min"": 77.07767709137934, ""iv_crush_max"": 24.0, ""market_hostility_max"": 27.40989141345074, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 1.6438356164383408, ""trade_quality_min"": 67.36842105263335}",BAJFINANCE,NSE_STOCK_OPTION,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608181028_1_MIDCPNIFTY_PE,2026-08-18T04:58:35.324181+00:00,MIDCPNIFTY,2026-08-25,14850.0,PE,83.45,83.15,83.75,16.69,2.0,45.31586921733481,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.5651580087605366, ""excellent_score_min"": 45.31586921733481, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 72.51295049689516, ""iv_crush_max"": 24.0, ""market_hostility_max"": 21.046720786612116, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.7189934092270752, ""trade_quality_min"": 3.093922651936959}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608181028_2_HCLTECH_CE,2026-08-18T04:58:35.324745+00:00,HCLTECH,2026-08-25,1300.0,CE,29.025,28.85,29.2,5.805,2.0,42.54726616429153,bd3813497287,"{""contract_quality_min"": 0.0, ""direction_min"": 22.614409045762503, ""excellent_score_min"": 42.54726616429153, ""execution_quality_min"": 82.60612772240711, ""expected_required_ratio_min"": 1.1666666666666665, ""final_confidence_min"": 79.65264634990925, ""iv_crush_max"": 24.0, ""market_hostility_max"": 26.1737518411298, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 1.205857019810501, ""trade_quality_min"": 75.8974358974304}",HCLTECH,NSE_STOCK_OPTION,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608181028_3_MIDCPNIFTY_PE,2026-08-18T04:58:35.326111+00:00,MIDCPNIFTY,2026-08-25,14825.0,PE,72.35,72.05,72.65,14.469999999999999,2.0,41.927499190678596,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.5651580087605366, ""excellent_score_min"": 41.927499190678596, ""execution_quality_min"": 98.74419982229193, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 72.51295049689516, ""iv_crush_max"": 24.0, ""market_hostility_max"": 21.046720786612116, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.8293020041465218, ""trade_quality_min"": 3.093922651936959}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608181028_4_GRASIM_CE,2026-08-18T04:58:35.326707+00:00,GRASIM,2026-08-25,3260.0,CE,57.0,56.8,57.2,11.4,2.0,20.100625084153606,3f3175605513,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 20.100625084153606, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.1666666666666665, ""final_confidence_min"": 65.87979750655359, ""iv_crush_max"": 24.0, ""market_hostility_max"": 32.930852628269605, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.7017543859649222, ""trade_quality_min"": 1.509433962262597}",GRASIM,NSE_STOCK_OPTION,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608181028_5_GRASIM_PE,2026-08-18T04:58:35.327200+00:00,GRASIM,2026-08-25,3300.0,PE,49.575,49.25,49.9,9.915000000000001,2.0,16.52896021798373,3f3175605513,"{""contract_quality_min"": 0.0, ""direction_min"": 0.48688454750123084, ""excellent_score_min"": 16.52896021798373, ""execution_quality_min"": 78.09379727685338, ""expected_required_ratio_min"": 1.1666666666666665, ""final_confidence_min"": 62.29212610832292, ""iv_crush_max"": 24.0, ""market_hostility_max"": 32.930852628269605, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 1.3111447302067545, ""trade_quality_min"": 1.509433962262597}",GRASIM,NSE_STOCK_OPTION,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608181031_1_MIDCPNIFTY_PE,2026-08-18T05:01:54.174869+00:00,MIDCPNIFTY,2026-08-25,14875.0,PE,92.05000000000001,91.7,92.4,18.410000000000004,2.0,45.000651310639014,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 45.000651310639014, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 72.10489771927827, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.916078254600322, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.5, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.7604562737642616, ""trade_quality_min"": 2.204724409445097}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608181031_2_MIDCPNIFTY_PE,2026-08-18T05:01:54.175412+00:00,MIDCPNIFTY,2026-08-25,14900.0,PE,103.7,103.45,103.95,20.740000000000002,2.0,44.70065131063902,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.0, ""excellent_score_min"": 44.70065131063902, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 72.10489771927827, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.916078254600322, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.7, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.4821600771456124, ""trade_quality_min"": 2.204724409445097}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
202608181031_3_MIDCPNIFTY_CE,2026-08-18T05:01:54.175995+00:00,MIDCPNIFTY,2026-08-25,14900.0,CE,88.875,88.6,89.15,17.775000000000002,2.0,41.86847483490534,712afad509f5,"{""contract_quality_min"": 0.0, ""direction_min"": 0.37679735703509387, ""excellent_score_min"": 41.86847483490534, ""execution_quality_min"": 100.0, ""expected_required_ratio_min"": 1.0833333333333335, ""final_confidence_min"": 72.21793692638879, ""iv_crush_max"": 24.0, ""market_hostility_max"": 20.916078254600322, ""min_top_book_lots"": 0.0, ""premium_elasticity_min"": 0.3, ""regime_confidence_min"": 60.0, ""spread_pct_max"": 0.6188466947960747, ""trade_quality_min"": 2.204724409445097}",MIDCPNIFTY,NSE_INDEX,FYERS_PAPER_PROXY_RESEARCH,PAPER_OVERRIDE::FYERS_PAPER_PROXY_RESEARCH,paper-strategy-8ade763620b6,opportunity-score-8ade763620b6,universe-a8e55c76a270
